Index,Encoder FunctionIndex,CommandBuffer Label,Encoder Label,,"1D Texture Array Sampler Calls","1D Texture Sampler Calls","2D MSAA Texture Sampler Calls","2D Texture Array Sampler Calls","2D Texture Sampler Calls","2X MSAA Resolved Pixels Stored","3D Texture Sampler Calls","4X MSAA Resolved Pixels Stored","ALU Utilization","Anisotropic Sampler Calls","Attachment Pixels Stored","Average Anisotropic Level","Average Pixel Overdraw","Average Samples Per Pixel","Average Sparse Texture Tile Size","Back Face Clipped Primitives","Block Compressed Texture Samples","Buffer Device Memory Bytes Read","Buffer Device Memory Bytes Written","Buffer L1 Miss Rate","Buffer L1 Read Accesses","Buffer L1 Read Bandwidth","Buffer L1 Write Accesses","Buffer L1 Write Bandwidth","Bytes Read From Device Memory","Bytes Written To Device Memory","Clip Unit Limiter","Compression Ratio of Texture Memory Read","Compression Ratio of Texture Memory Written","Compute Shader Launch Limiter","Compute Shader Launch Utilization","Control Flow Limiter","Control Flow Utilization","Cube Array Texture Sampler Calls","Cube Texture Sampler Calls","Cull Unit Limiter","Depth Load Utilization","Depth Load Utilization","Depth Store Utilization","Depth Test Utilization","Depth Test Utilization","Depth Texture Bytes Loaded","Depth Texture Bytes Stored","Depth Texture Device Memory Bytes Read","Depth Texture Device Memory Bytes Read","Depth Texture Device Memory Bytes Written","Depth Texture Device Memory Bytes Written","Device Atomic Bytes Read","Device Atomic Bytes Written","Device Memory Bandwidth","F16 Limiter","F16 Utilization","F32 Limiter","F32 Utilization","FS ALU Float Instructions","FS ALU Half Instructions","FS ALU Instructions","FS ALU Integer and Complex Instructions","FS ALU Integer and Conditional Instructions","FS ALU Performance","FS Buffer Device Memory Bytes Read","FS Buffer Device Memory Bytes Written","FS Bytes Read From Device Memory","FS Bytes Written To Device Memory","FS Device Atomic Bytes Read","FS Device Atomic Bytes Written","FS Device Memory Bandwidth","FS Helper Invocations","FS Helper Invocations Inefficiency","FS Invocation Utilization","FS Invocations","FS Invocations per Primitive","FS Last Level Cache Bytes Read","FS Last Level Cache Bytes Written","FS Occupancy","FS Texture Cache Miss Rate","FS Texture L1 Bytes Read","FS Tiles Processed","Fast Point Sampling Speedup","Fragment Generator Pixel Processing","Fragment Generator Primitive Processing","Fragment Shader Launch Limiter","Fragment Shader Launch Utilization","Fragments Rasterized per Primitive","GPU Read Bandwidth","GPU Write Bandwidth","ImageBlock L1 Read Accesses","ImageBlock L1 Write Accesses","Imageblock L1 Read Bandwidth","Imageblock L1 Write Bandwidth","Instruction Throughput Limiter","Instruction Throughput Utilization","Integer and Complex Limiter","Integer and Complex Utilization","Integer and Conditional Limiter","Integer and Conditional Utilization","Kernel ALU Float Instructions","Kernel ALU Half Instructions","Kernel ALU Instructions","Kernel ALU Integer and Complex Instructions","Kernel ALU Integer and Conditional Instructions","Kernel ALU Performance","Kernel Invocations","Kernel Occupancy","Kernel Texture Cache Miss Rate","L1 Buffer Residency","L1 Cache Limiter","L1 Cache Utilization","L1 Eviction Rate","L1 Imageblock Residency","L1 Other Residency","L1 RT Scratch Residency","L1 RT Scratch Residency","L1 Read Bandwidth","L1 Register Residency","L1 Stack Residency","L1 Threadgroup Residency","L1 Total Residency","L1 Write Bandwidth","Last Level Cache Bandwidth","Last Level Cache Bytes Read","Last Level Cache Bytes Written","Last Level Cache Limiter","Last Level Cache Miss Rate","Last Level Cache Utilization","Lossless Compressed Pixels Stored","Lossless Compressed Texture Bytes From Cache","Lossless Compressed Texture Samples","Lossy Compressed Pixels Stored","Lossy Compressed Texture Bytes From Cache","Lossy Compressed Texture Samples","MMU Limiter","MMU TLB Miss Rate","MMU Utilization","Mipmap Linear Sampler Calls","Mipmap Nearest Sampler Calls","New Triangles Generated","New Vertices Generated","Occupancy Manager Target","Occupancy Manager Target","Other L1 Read Accesses","Other L1 Read Accesses","Other L1 Write Accesses","Other L1 Write Accesses","Partial Render Count","Pixels Rasterized","Pixels Stored","Pixels per Vertex","Post Clip Cull Primitive Processing","Post Clipped Primitives","Pre Cull Primitive Processing","PreZ Test Fails","Predicated Texture Thread Reads","Predicated Texture Thread Writes","Primitive Block Tile Intersections","Primitives","Primitives Clipped","Primitives Culled (Back-Face)","Primitives Culled (Guard-Band)","Primitives Culled (Off-Screen)","Primitives Culled (Zero-Area)","Primitives Per Tile","Primitives Rendered","RT Intersect Ray Threads","RT Scratch L1 Read Accesses","RT Scratch L1 Write Accesses","RT Unit Active","Rasterizer Sample Processing","Ray Occupancy","Register L1 Read Accesses","Register L1 Read Accesses","Register L1 Write Accesses","Register L1 Write Accesses","Sampler Calls/FS Invocation","Sampler Calls/VS Invocation","Samples Shaded Per Tile","Shaded Vertex Read Limiter","Small Triangles Clipped Pimitives","Sparse Texture Translation Limiter","Sparse Texture Translation Requests","Stack L1 Read Accesses","Stack L1 Read Bandwidth","Stack L1 Write Accesses","Stack L1 Write Bandwidth","Texture Accesses","Texture Cache Miss Rate","Texture Cache Miss Rate","Texture Device Memory Bytes Read","Texture Device Memory Bytes Read","Texture Device Memory Bytes Written","Texture Device Memory Bytes Written","Texture Filtering Limiter","Texture Filtering Utilization","Texture Gather Calls","Texture L1 Bytes Read","Texture L1 Bytes Read","Texture Pixels Stored","Texture Quads","Texture Read Cache Limiter","Texture Read Cache Miss Limiter","Texture Read Cache Utilization","Texture Read Limiter","Texture Read Utilization","Texture Sample Calls","Texture Write Limiter","Texture Write Utilization","ThreadGroup L1 Read Accesses","ThreadGroup L1 Write Accesses","ThreadGroup L1 Write Accesses","Threadgroup Memory L1 Read Bandwidth","Threadgroup Memory L1 Write Bandwidth","Threadgroup Memory L1 Write Bandwidth","Tiled Vertex Buffer Bytes","Tiled Vertex Buffer Primitive Blocks Bytes","Tiling Block Utilization","Total Resolved Pixels","Uncompressed Texture Samples","VS ALU Float Instructions","VS ALU Half Instructions","VS ALU Instructions","VS ALU Integer and Complex Instructions","VS ALU Integer and Conditional Instructions","VS ALU Performance","VS Buffer Device Memory Bytes Read","VS Buffer Device Memory Bytes Written","VS Bytes Read From Device Memory","VS Bytes Written To Device Memory","VS Device Atomic Bytes Read","VS Device Atomic Bytes Written","VS Device Memory Bandwidth","VS Invocation Utilization","VS Invocations","VS Last Level Cache Bytes Read","VS Last Level Cache Bytes Written","VS Occupancy","VS Texture Cache Miss Rate","VS Texture L1 Bytes Read","Vertex Shader Launch Limiter","Vertex Shader Launch Utilization","Vertices","Vertices Reused"
1,26,SingleEncoder,SimpleAdd,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10112.00,4096.00,66.67,58.62,1.04,27.59,0.49,17024.00,26368.00,0.00,0.00,0.00,0.04,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.21,8.07,0.00,0.00,0.00,0.00,0.06,0.01,0.00,0.00,0.02,0.02,9.09,0.00,11264.00,0.00,90.91,11264.00,1024.00,0.09,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,1.17,0.00,0.00,0.00,0.01,0.61,19.95,33536.00,27456.00,0.04,68.27,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.51,0.02,0.00,0.00,0.00,0.00,100.00,100.00,6.90,6.90,6.90,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
