Index,Encoder FunctionIndex,CommandBuffer Label,Encoder Label,,"1D Texture Array Sampler Calls","1D Texture Sampler Calls","2D MSAA Texture Sampler Calls","2D Texture Array Sampler Calls","2D Texture Sampler Calls","2X MSAA Resolved Pixels Stored","3D Texture Sampler Calls","4X MSAA Resolved Pixels Stored","ALU Utilization","Anisotropic Sampler Calls","Attachment Pixels Stored","Average Anisotropic Level","Average Pixel Overdraw","Average Samples Per Pixel","Average Sparse Texture Tile Size","Back Face Clipped Primitives","Block Compressed Texture Samples","Buffer Device Memory Bytes Read","Buffer Device Memory Bytes Written","Buffer L1 Miss Rate","Buffer L1 Read Accesses","Buffer L1 Read Bandwidth","Buffer L1 Write Accesses","Buffer L1 Write Bandwidth","Bytes Read From Device Memory","Bytes Written To Device Memory","Clip Unit Limiter","Compression Ratio of Texture Memory Read","Compression Ratio of Texture Memory Written","Compute Shader Launch Limiter","Compute Shader Launch Utilization","Control Flow Limiter","Control Flow Utilization","Cube Array Texture Sampler Calls","Cube Texture Sampler Calls","Cull Unit Limiter","Depth Load Utilization","Depth Load Utilization","Depth Store Utilization","Depth Test Utilization","Depth Test Utilization","Depth Texture Bytes Loaded","Depth Texture Bytes Stored","Depth Texture Device Memory Bytes Read","Depth Texture Device Memory Bytes Read","Depth Texture Device Memory Bytes Written","Depth Texture Device Memory Bytes Written","Device Atomic Bytes Read","Device Atomic Bytes Written","Device Memory Bandwidth","F16 Limiter","F16 Utilization","F32 Limiter","F32 Utilization","FS ALU Float Instructions","FS ALU Half Instructions","FS ALU Instructions","FS ALU Integer and Complex Instructions","FS ALU Integer and Conditional Instructions","FS ALU Performance","FS Buffer Device Memory Bytes Read","FS Buffer Device Memory Bytes Written","FS Bytes Read From Device Memory","FS Bytes Written To Device Memory","FS Device Atomic Bytes Read","FS Device Atomic Bytes Written","FS Device Memory Bandwidth","FS Helper Invocations","FS Helper Invocations Inefficiency","FS Invocation Utilization","FS Invocations","FS Invocations per Primitive","FS Last Level Cache Bytes Read","FS Last Level Cache Bytes Written","FS Occupancy","FS Texture Cache Miss Rate","FS Texture L1 Bytes Read","FS Tiles Processed","Fast Point Sampling Speedup","Fragment Generator Pixel Processing","Fragment Generator Primitive Processing","Fragment Shader Launch Limiter","Fragment Shader Launch Utilization","Fragments Rasterized per Primitive","GPU Read Bandwidth","GPU Write Bandwidth","ImageBlock L1 Read Accesses","ImageBlock L1 Write Accesses","Imageblock L1 Read Bandwidth","Imageblock L1 Write Bandwidth","Instruction Throughput Limiter","Instruction Throughput Utilization","Integer and Complex Limiter","Integer and Complex Utilization","Integer and Conditional Limiter","Integer and Conditional Utilization","Kernel ALU Float Instructions","Kernel ALU Half Instructions","Kernel ALU Instructions","Kernel ALU Integer and Complex Instructions","Kernel ALU Integer and Conditional Instructions","Kernel ALU Performance","Kernel Invocations","Kernel Occupancy","Kernel Texture Cache Miss Rate","L1 Buffer Residency","L1 Cache Limiter","L1 Cache Utilization","L1 Eviction Rate","L1 Imageblock Residency","L1 Other Residency","L1 RT Scratch Residency","L1 RT Scratch Residency","L1 Read Bandwidth","L1 Register Residency","L1 Stack Residency","L1 Threadgroup Residency","L1 Total Residency","L1 Write Bandwidth","Last Level Cache Bandwidth","Last Level Cache Bytes Read","Last Level Cache Bytes Written","Last Level Cache Limiter","Last Level Cache Miss Rate","Last Level Cache Utilization","Lossless Compressed Pixels Stored","Lossless Compressed Texture Bytes From Cache","Lossless Compressed Texture Samples","Lossy Compressed Pixels Stored","Lossy Compressed Texture Bytes From Cache","Lossy Compressed Texture Samples","MMU Limiter","MMU TLB Miss Rate","MMU Utilization","Mipmap Linear Sampler Calls","Mipmap Nearest Sampler Calls","New Triangles Generated","New Vertices Generated","Occupancy Manager Target","Occupancy Manager Target","Other L1 Read Accesses","Other L1 Read Accesses","Other L1 Write Accesses","Other L1 Write Accesses","Partial Render Count","Pixels Rasterized","Pixels Stored","Pixels per Vertex","Post Clip Cull Primitive Processing","Post Clipped Primitives","Pre Cull Primitive Processing","PreZ Test Fails","Predicated Texture Thread Reads","Predicated Texture Thread Writes","Primitive Block Tile Intersections","Primitives","Primitives Clipped","Primitives Culled (Back-Face)","Primitives Culled (Guard-Band)","Primitives Culled (Off-Screen)","Primitives Culled (Zero-Area)","Primitives Per Tile","Primitives Rendered","RT Intersect Ray Threads","RT Scratch L1 Read Accesses","RT Scratch L1 Write Accesses","RT Unit Active","Rasterizer Sample Processing","Ray Occupancy","Register L1 Read Accesses","Register L1 Read Accesses","Register L1 Write Accesses","Register L1 Write Accesses","Sampler Calls/FS Invocation","Sampler Calls/VS Invocation","Samples Shaded Per Tile","Shaded Vertex Read Limiter","Small Triangles Clipped Pimitives","Sparse Texture Translation Limiter","Sparse Texture Translation Requests","Stack L1 Read Accesses","Stack L1 Read Bandwidth","Stack L1 Write Accesses","Stack L1 Write Bandwidth","Texture Accesses","Texture Cache Miss Rate","Texture Cache Miss Rate","Texture Device Memory Bytes Read","Texture Device Memory Bytes Read","Texture Device Memory Bytes Written","Texture Device Memory Bytes Written","Texture Filtering Limiter","Texture Filtering Utilization","Texture Gather Calls","Texture L1 Bytes Read","Texture L1 Bytes Read","Texture Pixels Stored","Texture Quads","Texture Read Cache Limiter","Texture Read Cache Miss Limiter","Texture Read Cache Utilization","Texture Read Limiter","Texture Read Utilization","Texture Sample Calls","Texture Write Limiter","Texture Write Utilization","ThreadGroup L1 Read Accesses","ThreadGroup L1 Write Accesses","ThreadGroup L1 Write Accesses","Threadgroup Memory L1 Read Bandwidth","Threadgroup Memory L1 Write Bandwidth","Threadgroup Memory L1 Write Bandwidth","Tiled Vertex Buffer Bytes","Tiled Vertex Buffer Primitive Blocks Bytes","Tiling Block Utilization","Total Resolved Pixels","Uncompressed Texture Samples","VS ALU Float Instructions","VS ALU Half Instructions","VS ALU Instructions","VS ALU Integer and Complex Instructions","VS ALU Integer and Conditional Instructions","VS ALU Performance","VS Buffer Device Memory Bytes Read","VS Buffer Device Memory Bytes Written","VS Bytes Read From Device Memory","VS Bytes Written To Device Memory","VS Device Atomic Bytes Read","VS Device Atomic Bytes Written","VS Device Memory Bandwidth","VS Invocation Utilization","VS Invocations","VS Last Level Cache Bytes Read","VS Last Level Cache Bytes Written","VS Occupancy","VS Texture Cache Miss Rate","VS Texture L1 Bytes Read","Vertex Shader Launch Limiter","Vertex Shader Launch Utilization","Vertices","Vertices Reused"
1,41,MultipleEncoders_6,Encoder_1_simple_add,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10112.00,4096.00,66.67,58.62,1.04,27.59,0.49,16768.00,24576.00,0.00,0.00,0.00,0.04,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.57,6.70,0.00,0.00,0.00,0.00,0.06,0.01,0.00,0.00,0.02,0.02,9.09,0.00,11264.00,0.00,90.91,11264.00,1024.00,0.09,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,1.17,0.00,0.00,0.00,0.01,0.61,18.16,33280.00,26944.00,0.03,65.90,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.00,0.00,0.00,0.00,100.00,100.00,6.90,6.90,6.90,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,50,MultipleEncoders_6,Encoder_2_simple_multiply,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10112.00,0.00,66.81,58.60,1.03,27.58,0.49,16896.00,16384.00,0.00,0.00,0.00,0.04,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.99,5.81,0.00,0.00,0.00,0.00,0.06,0.01,0.00,0.00,0.02,0.02,9.14,0.00,11200.00,0.00,90.86,11200.00,1024.00,0.09,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,1.16,0.00,0.00,0.00,0.01,0.61,22.62,33408.00,27968.00,0.03,70.78,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.01,22.55,0.01,0.00,0.00,0.00,0.00,100.00,100.00,6.91,6.91,6.91,6.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,59,MultipleEncoders_6,Encoder_3_simple_subtract,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10112.00,0.00,66.67,58.62,1.04,27.59,0.49,16960.00,16768.00,0.00,0.00,0.00,0.04,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.66,5.59,0.00,0.00,0.00,0.00,0.06,0.01,0.00,0.00,0.02,0.02,9.09,0.00,11264.00,0.00,90.91,11264.00,1024.00,0.08,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,1.17,0.00,0.00,0.00,0.01,0.61,20.03,33472.00,26432.00,0.04,72.39,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.02,1.83,0.02,0.00,0.00,0.00,0.00,100.00,100.00,6.90,6.90,6.90,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,68,MultipleEncoders_6,Encoder_4_simple_divide,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10112.00,0.00,66.67,58.62,1.04,27.59,0.49,16896.00,16384.00,0.00,0.00,0.00,0.04,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.09,5.91,0.00,0.00,0.00,0.00,0.06,0.01,0.00,0.00,0.02,0.02,15.38,0.00,13312.00,7.69,76.92,13312.00,1024.00,0.09,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,1.17,0.00,0.00,0.00,0.01,0.61,87.93,33408.00,31488.00,0.13,74.73,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.46,0.02,0.00,0.00,0.00,0.00,100.00,100.00,6.90,6.90,6.90,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,77,MultipleEncoders_6,Encoder_5_complex_math,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10816.00,0.00,64.71,52.90,0.74,23.55,0.33,17600.00,16768.00,0.00,0.00,0.00,0.03,0.03,0.34,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.88,0.00,0.00,3.74,3.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.99,1.89,0.00,0.00,0.00,0.00,2.18,1.64,1.64,1.64,1.65,1.65,60.23,0.00,3918064.00,13.22,26.55,3918064.00,1024.00,0.47,0.00,0.08,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.90,0.00,0.00,0.00,0.09,0.49,32.13,44672.00,178944.00,0.15,79.51,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.02,3.95,0.02,0.00,0.00,0.00,0.00,100.00,100.00,11.78,11.78,11.78,11.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,86,MultipleEncoders_6,Encoder_6_low_register_pressure,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5952.00,0.00,55.56,45.93,1.04,43.22,0.98,12800.00,16832.00,0.00,0.00,0.00,0.08,0.08,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.54,5.97,0.00,0.00,0.00,0.00,0.08,0.02,0.00,0.00,0.03,0.03,12.55,0.00,8160.00,0.00,87.45,8160.00,1024.00,0.15,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,1.16,0.00,0.00,0.00,0.01,1.10,20.96,28352.00,26496.00,0.03,66.63,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.02,6.68,0.02,0.00,0.00,0.00,0.00,100.00,100.00,5.42,5.42,5.42,5.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
